ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3702617,25-02-2018,10:45,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,3,1,0,0
3702683,24-02-2018,10:55,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3702701,26-02-2018,16:00,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3702703,26-02-2018,18:25,Infortunio per caduta del veicolo,,Sereno,Sufficiente,0,1,0,0
3702718,24-02-2018,16:35,Scontro frontale fra veicoli in marcia,,Pioggia in atto,Buona,1,2,0,0
3702722,24-02-2018,10:50,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3702730,24-02-2018,19:00,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
3702736,24-02-2018,22:10,Veicolo in marcia contro ostacolo fisso,,Pioggia in atto,Buona,1,0,0,0
3702738,24-02-2018,16:30,Tamponamento,,Pioggia in atto,Buona,3,0,0,0
3702749,23-02-2018,21:00,Investimento di pedone,,Pioggia in atto,Sufficiente,1,1,0,0
3702751,23-02-2018,19:40,Investimento di pedone,,Pioggia in atto,Buona,1,1,0,0
3702757,26-02-2018,19:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3703135,26-02-2018,15:40,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,3,0,0,0
3703138,26-02-2018,18:30,Fuoriuscita dalla sede stradale,,Nebbia,Sufficiente,1,0,0,0
3703145,26-02-2018,04:15,Scontro frontale/laterale DX fra veicoli in marcia,,Nevicata in atto,Sufficiente,2,0,0,0
3703163,26-02-2018,12:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3703168,26-02-2018,14:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3703171,26-02-2018,14:50,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3703175,26-02-2018,14:30,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3703177,26-02-2018,22:45,Tamponamento,,Sereno,Buona,2,0,0,0
3703180,26-02-2018,18:55,Tamponamento Multiplo,,Sereno,Buona,4,0,0,0
3703181,27-02-2018,02:00,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3703188,26-02-2018,07:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nevicata in atto,Buona,1,1,0,0
3703215,26-02-2018,20:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3703219,26-02-2018,11:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3703250,25-02-2018,02:05,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,5,0,0,0
3703276,26-02-2018,12:10,Tamponamento,,Sereno,Buona,2,1,0,0
3703281,27-02-2018,07:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,0,2,0,0
3703287,27-02-2018,08:30,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,1,1,0,0
3703296,27-02-2018,08:05,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3703314,26-02-2018,17:10,Veicolo in marcia contro ostacolo fisso,,Sereno,Buona,1,0,0,0
3703336,24-02-2018,22:20,Infortunio per sola frenata improvvisa,,Nuvoloso,Sufficiente,2,1,0,0
3703341,26-02-2018,17:00,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3703441,24-02-2018,02:55,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
3703463,24-02-2018,22:10,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3703464,26-02-2018,22:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3703479,25-02-2018,10:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3703514,25-02-2018,22:45,Scontro frontale/laterale SX fra veicoli in marcia,,Pioggia in atto,Sufficiente,3,0,0,0
3703517,26-02-2018,09:00,Tamponamento,,Nevicata in atto,Sufficiente,3,0,0,0
3703546,27-02-2018,09:45,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3703579,26-02-2018,06:15,Scontro frontale fra veicoli in marcia,,Nevicata in atto,Insufficiente,1,3,0,0
3703586,24-02-2018,18:45,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,1,0,0,0
3703589,24-02-2018,12:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,2,0,0,0
3703601,26-02-2018,10:30,Scontro frontale fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3703608,26-02-2018,14:20,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,2,1,0,0
3703622,27-02-2018,01:00,Veicolo in marcia contro veicoli in sosta,,Sereno,Buona,1,0,0,0
3703628,26-02-2018,16:25,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3703633,24-02-2018,12:50,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3703637,26-02-2018,23:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3703643,24-02-2018,22:55,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Buona,1,0,0,0
3703661,24-02-2018,18:00,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3703730,27-02-2018,12:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,4,0,0
3703925,23-02-2018,14:20,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3704107,26-02-2018,07:10,Scontro frontale fra veicoli in marcia,,Nevicata in atto,Insufficiente,0,2,0,0
3704238,27-02-2018,16:30,Tamponamento,,Sereno,Buona,2,1,0,0
3704337,27-02-2018,16:50,Tamponamento Multiplo,,Sereno,Buona,3,0,0,0
3704382,26-02-2018,10:10,Veicolo in marcia contro ostacolo fisso,,Nevicata in atto,Buona,1,0,0,0
3704411,27-02-2018,16:00,Tamponamento,,Sereno,Buona,2,0,0,0
3704784,23-02-2018,22:20,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3704791,27-02-2018,19:25,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3704792,27-02-2018,16:15,Scontro laterale fra veicoli in marcia,,Sereno,Buona,2,0,0,0
3704796,27-02-2018,18:00,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,2,0,0,0
3704802,27-02-2018,14:30,Tamponamento,,Sereno,Buona,1,2,0,0
3704808,28-02-2018,00:10,Tamponamento,,Sereno,Sufficiente,2,1,0,0
