ID,Data,Ora,Tipo,Causa,Meteo,Visibilita,N.Illesi,N.Feriti,N.PrognosiRiservata,N.Deceduti
3711762,04-03-2018,04:30,Ribaltamento senza urto contro ostacolo fisso,,Sereno,Sufficiente,1,0,0,0
3711774,03-03-2018,18:30,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,0,2,0,0
3711786,02-03-2018,15:30,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Sufficiente,0,1,0,0
3711802,03-03-2018,23:57,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,2,0,0,0
3711814,04-03-2018,10:45,Tamponamento,,Nuvoloso,Buona,5,0,0,0
3711822,02-03-2018,16:53,Scontro frontale fra veicoli in marcia,,Nuvoloso,Sufficiente,1,1,0,0
3711825,04-03-2018,03:30,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,1,4,0,0
3711873,03-03-2018,13:55,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3711879,03-03-2018,13:40,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,2,0,0,0
3711880,03-03-2018,12:40,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,2,0,0,0
3711883,03-03-2018,12:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,3,0,0,0
3711903,01-03-2018,18:20,Infortunio per sola frenata improvvisa,,Pioggia in atto,Buona,0,1,0,0
3711911,03-03-2018,16:35,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,0,0,0
3711928,03-03-2018,07:00,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Sufficiente,1,0,0,0
3712027,03-03-2018,12:45,Scontro frontale/laterale DX fra veicoli in marcia,,Pioggia in atto,Buona,3,0,0,0
3712045,03-03-2018,16:45,Scontro frontale/laterale SX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3712125,03-03-2018,14:45,Veicolo in marcia contro ostacolo accidentale,,Sereno,Buona,1,0,0,0
3712130,04-03-2018,07:50,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,2,0,0,0
3712132,04-03-2018,15:20,Scontro frontale/laterale SX fra veicoli in marcia,,,,5,0,0,0
3712133,04-03-2018,17:10,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Buona,4,0,0,0
3712212,03-03-2018,20:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3712361,04-03-2018,11:10,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3712362,04-03-2018,16:30,Tamponamento,,Pioggia in atto,Buona,5,0,0,0
3712364,03-03-2018,17:30,Tamponamento Multiplo,,Nuvoloso,Sufficiente,3,0,0,0
3712366,03-03-2018,09:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,3,0,0,0
3712368,04-03-2018,13:30,Veicolo in marcia contro ostacolo accidentale,,,,1,0,0,0
3712535,03-03-2018,19:45,Scontro laterale fra veicoli in marcia,,Nuvoloso,Buona,4,1,0,0
3712548,04-03-2018,07:20,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,2,0,0,0
3712552,03-03-2018,18:30,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Sufficiente,1,0,0,0
3712554,04-03-2018,21:20,Veicolo in marcia contro ostacolo accidentale,,Pioggia in atto,Sufficiente,2,0,0,0
3712555,02-03-2018,12:40,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Buona,3,0,0,0
3712558,04-03-2018,20:10,Veicolo in marcia contro veicolo in sosta,,Pioggia in atto,Sufficiente,1,0,0,0
3712560,03-03-2018,23:10,Veicolo in marcia contro ostacolo accidentale,,Sereno,Sufficiente,1,0,0,0
3712563,03-03-2018,18:40,Scontro laterale fra veicoli in marcia,,Nuvoloso,Sufficiente,3,0,0,0
3712564,04-03-2018,18:40,Scontro frontale fra veicoli in marcia,,Pioggia in atto,Sufficiente,3,0,0,0
3712571,04-03-2018,00:35,Veicolo in marcia contro veicolo in sosta,,Sereno,Sufficiente,1,0,0,0
3712572,03-03-2018,16:15,Veicolo in marcia contro ostacolo accidentale,,Nuvoloso,Buona,1,0,0,0
3712574,04-03-2018,04:00,Veicolo in marcia contro ostacolo fisso,,Sereno,Sufficiente,0,1,0,0
3712580,03-03-2018,19:50,Investimento di pedone,,Nuvoloso,Sufficiente,0,0,1,0
3712584,02-03-2018,14:00,Veicolo in marcia contro ostacolo fisso,,Nuvoloso,Buona,0,0,0,1
3712589,03-03-2018,14:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Buona,1,1,0,0
3712590,03-03-2018,15:20,Scontro frontale/laterale SX fra veicoli in marcia,,Sereno,Buona,5,0,0,0
3712595,04-03-2018,21:50,Investimento di pedone,,Pioggia in atto,Sufficiente,1,1,0,0
3712599,04-03-2018,12:20,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3712604,03-03-2018,17:40,Investimento di pedone,,Sereno,Buona,1,1,0,0
3712606,04-03-2018,20:00,Ribaltamento senza urto contro ostacolo fisso,,Pioggia in atto,Buona,0,0,0,1
3712611,02-03-2018,19:00,Scontro frontale/laterale DX fra veicoli in marcia,,Sereno,Sufficiente,1,0,0,0
3712620,04-03-2018,07:15,Veicolo in marcia contro veicolo in sosta,,Nuvoloso,Buona,1,0,0,0
3712621,02-03-2018,15:15,Veicolo in marcia contro veicolo in sosta,,Sereno,Buona,0,1,0,0
3712624,03-03-2018,21:30,Veicolo in marcia contro veicolo fermo,,Nuvoloso,Insufficiente,5,0,0,0
3712625,03-03-2018,14:30,Scontro frontale/laterale DX fra veicoli in marcia,,Nuvoloso,Sufficiente,2,0,0,0
3712633,04-03-2018,19:45,Investimento di pedone,,Pioggia in atto,Sufficiente,1,1,0,0
3712642,03-03-2018,13:00,Fuoriuscita dalla sede stradale,,Pioggia in atto,Sufficiente,1,0,0,0
3712646,03-03-2018,23:00,Veicolo in marcia contro veicoli in sosta,,Nuvoloso,Buona,0,1,0,0
