Data;Ora;Luogo;Incidenti;Feriti;X;Y
2018-01-13;18:00;VIALE STRASBURGO ;F;1;13,332889;38,149105
2018-01-13;21:10;VIALE DELLA RESURREZIONE ;F;1;13,327669;38,170669
2018-01-13;23:15;VIA ROMA ;F;2;13,358902;38,124568
2018-01-14;01:15;VIA LINCOLN ;C;;13,372574;38,113518
2018-01-14;03:15;VIA PANDOLFINI ;F;1;13,307514;38,113386
2018-01-14;07:30;VIA PEREZ FRANCESCO PAOLO ;C;;13,36514;38,107903
2018-01-14;08:45;VIA MESSINA MARINE ;C;;13,391793;38,103846
2018-01-14;05:10;VIA MADDALENA UMBERTO ;C;;13,309757;38,098179
2018-01-14;18:00;VIALE REGIONE SICILIANA N.O. ;F;2;13,329538;38,110554
2018-01-15;02:15;VIALE MARGHERITA DI SAVOIA ;F;1;13,339155;38,16659
2018-01-04;18:30;VIA CRISPI FRANCESCO ;C;;13,36491;38,12272
2018-01-11;00:05;FORO UMBERTO I ;F;1;13,373952;38,116713
2018-01-15;14:25;VIA ARIMONDI GIUSEPPE GEN. ;C;;13,350785;38,136507
2018-01-08;15:30;VIA BASILE ERNESTO ;C;;13,349465;38,103526
2018-01-11;00:36;VIA CALA ;F;1;13,369762;38,11962
2018-01-11;17:13;VIALE REGIONE SICILIANA N.O. ;F;1;13,330623;38,140034
2018-01-14;12:50;VIA GUARNERI ANDREA ;C;;13,319985;38,124829
2018-01-15;16:20;VIA BADIA ;F;1;13,320261;38,134841
2018-01-15;17:30;VIALE DEL FANTE ;C;;13,333275;38,162285
2018-01-16;07:45;VIA PACINI GIOVANNI ;F;1;13,346822;38,119226
2018-01-16;08:45;VIALE GALILEO GALILEI ;F;1;13,334619;38,130668
2018-01-12;11:10;VIA DI MARCO VINCENZO ;C;;13,350314;38,135534
2018-01-16;12:55;VIA DON ORIONE ;F;1;13,362181;38,141114
2018-01-16;14:10;VIA PIAZZI GIUSEPPE ;C;;13,347254;38,123991
2018-01-16;17:20;VIA MONGITORE ANTONINO ;F;1;13,356184;38,109925
2018-01-16;17:40;VIA DAMIANI ALMEJDA ;F;1;13,347409;38,1315
2018-01-17;01:00;VIA TRINACRIA ;F;1;13,338098;38,148803
2018-01-17;01:30;VIA MESSINA MONTAGNE ;F;1;13,426764;38,083197
2018-01-05;12:25;VIALE LEONARDO DA VINCI ;C;;13,33192;38,129242
2018-01-08;14:10;VIA PERRICONE PIETRO ;F;1;13,315409;38,145539
2018-01-17;10:00;VIA DE AMICIS EDMONDO ;C;;13,347243;38,140038
2018-01-17;14:30;VIA PITRE' GIUSEPPE ;C;;13,329716;38,11051
2018-01-17;13:15;VIA EUGENIO L'EMIRO ;F;1;13,338315;38,114394
2018-01-17;14:45;VIA VILLA ROSATO ;F;1;13,330814;38,15992
2018-01-17;20:05;VIA VITTORIO EMANUELE ;C;;13,358989;38,114683
2018-01-17;20:45;VIA MESSINA MARINE ;C;;13,37949;38,1095
2018-01-17;22:30;PIAZZA AMENDOLA GIOVANNI ;F;1;13,351883;38,121842
2018-01-18;08:20;VIALE STRASBURGO ;F;1;13,332169;38,150211
2018-01-18;07:55;PIAZZA CASTELNUOVO ;F;1;13,354942;38,123797
