ID,Via,Coordinate,Fondo Stradale,Pavimentazione,Illuminazione,Data,Ora,Tipo,Meteo,Visibilita,N. Illesi,N. Feriti,N. Prognosi Riservata,N. Deceduti
3641539,VIA DI CASAL DEL MARMO,"(41.94215,12.38899)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,15:40,Veicolo in marcia contro ostacolo fisso,Pioggia in atto,Buona,0,1,0,0
3641690,VIA EGNA,"(41.73415,12.36017)",Asciutto,Asfaltata,Sufficiente,16/01/2018,16:50,Scontro frontale/laterale DX fra veicoli in marcia,Sereno,Sufficiente,2,0,0,0
3641702,VIA DI CASAL DEL MARMO,"(41.92067,12.38164)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,12:45,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3641711,VIA FLAMINIA,"(41.94192,12.47183)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,15:30,Scontro frontale fra veicoli in marcia,Pioggia in atto,Buona,2,3,0,0
3641712,VIALE DELLE MILIZIE,"(41.91056,12.45665)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,11:00,Scontro laterale fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
3641722,VIA BALDO DEGLI UBALDI,"(41.89895,12.43378)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,12:30,Ribaltamento senza urto contro ostacolo fisso,Nuvoloso,Buona,2,0,0,0
3642145,VIA FILIPPO MEDA,"(41.91322,12.54355)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,09:25,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Buona,1,1,0,0
3642159,VIALE PALMIRO TOGLIATTI,"(41.91452,12.57027)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,17:30,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Buona,3,0,0,0
3642167,VIA GIUSEPPE CEI,"(41.87758,12.54704)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,19:45,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Sufficiente,2,1,0,0
3642174,LARGO VOLONTARI DEL SANGUE,"(41.86193,12.45319)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,19:05,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Sufficiente,1,0,0,0
3642175,VIA DELLE SETTE CHIESE,"(41.86064,12.49153)",Bagnato (umidit? in atto),Asfaltata,Ore Diurne,16/01/2018,15:10,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,3,0,0,0
3642181,VIA DELLA MAGLIANA,"(41.85548,12.45842)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,16/01/2018,17:15,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3642213,VIA CRISTOFORO COLOMBO,"(41.86581,12.49755)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,11:55,Tamponamento,Sereno,Buona,1,1,0,0
3642215,PIAZZA FONTE DEGLI ACILII,"(41.7557,12.36846)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,08:50,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,2,0,0,0
3642218,VIA CASILINA VECCHIA,"(41.88798,12.52203)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,17:30,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Buona,4,1,0,0
3642220,VIA MONSELICE,"(41.87987,12.52241)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,11:45,Scontro laterale fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
3642225,VIA CAVOUR,"(41.89392,12.48988)",Bagnato (pioggia),Asfaltata,Sufficiente,15/01/2018,19:45,Scontro frontale/laterale SX fra veicoli in marcia,Pioggia in atto,Sufficiente,5,0,0,0
3642227,LARGO PANNONIA,"(41.87985,12.50152)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,14:00,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,2,0,0,0
3642228,VIA DI CASAL SELCE,"(41.9117,12.35103)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,16/01/2018,19:30,Scontro frontale fra veicoli in marcia,Sereno,Sufficiente,1,1,0,0
3642232,VIALE CARLO TOMMASO ODESCALCHI,"(41.85581,12.50066)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,17:45,Scontro frontale/laterale DX fra veicoli in marcia,Nuvoloso,Buona,4,0,0,0
3642235,VIA DI GROTTAROSSA,"(41.97414,12.45974)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,13:55,Veicolo in marcia contro ostacolo fisso,Nuvoloso,Sufficiente,0,1,0,0
3642237,VIA PRENESTINA,"(41.89224,12.63773)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,18:20,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,1,0,0,0
3642239,VIA PRENESTINA,"(41.89346,12.61059)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,19:15,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,1,0,0,0
3642240,VIALE PALMIRO TOGLIATTI,"(41.88718,12.57334)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,16:15,Tamponamento,Pioggia in atto,Sufficiente,4,0,0,0
3642245,VIA PRENESTINA,"(41.89346,12.61059)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,18:30,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,2,0,0,0
3642250,VIA PRENESTINA,"(41.89346,12.61059)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,19:00,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,2,0,0,0
3642254,VIA PRENESTINA,"(41.89346,12.61059)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,19:45,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,1,0,0,0
3642256,VIA ANDREA DORIA,"(41.91034,12.45379)",Asciutto,Asfaltata,Sufficiente,16/01/2018,19:25,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,2,1,0,0
3642259,VIA OSTIENSE,"(41.78503,12.36418)",Asciutto,Asfaltata,Ore Diurne,16/01/2018,10:20,Scontro laterale fra veicoli in marcia,Nuvoloso,Buona,2,0,0,0
3642260,VIA PRENESTINA,"(41.89346,12.61059)",Bagnato (pioggia),Asfaltata,Inesistente,16/01/2018,19:30,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Insufficiente,1,0,0,0
3642262,VIA MARIO BROGLIO,"(41.83366,12.58117)",Bagnato (umidit? in atto),Asfaltata,Sufficiente,16/01/2018,21:00,Veicolo in marcia contro veicolo in sosta,Nuvoloso,Sufficiente,2,0,0,0
3642264,VIA MARZIALE,"(41.91208,12.44344)",Asciutto,Asfaltata,Sufficiente,16/01/2018,19:40,Tamponamento,Sereno,Buona,2,0,0,0
3642267,VIA CASILINA,"(41.86291,12.61348)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,08:30,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Sufficiente,3,0,0,0
3642270,VIADOTTO GIUBILEO DEL 2000,"(41.98901,12.49539)",Bagnato (pioggia),Asfaltata,Insufficiente,16/01/2018,15:20,Veicolo in marcia contro ostacolo fisso,Nuvoloso,Sufficiente,1,0,0,0
3642271,VIA AURELIA,"(41.88752,12.38873)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,16:15,Tamponamento Multiplo,Pioggia in atto,Buona,3,1,0,0
3642272,VIA DI TOR BELLA MONACA,"(41.87848,12.62375)",Bagnato (pioggia),Con buche,Ore Diurne,16/01/2018,16:40,Veicolo in marcia contro ostacolo accidentale,Pioggia in atto,Buona,1,0,0,0
3642274,VIA LAURENTINA,"(41.80193,12.4837)",Asciutto,Con buche,Sufficiente,01/01/2018,03:00,Ribaltamento senza urto contro ostacolo fisso,Nebbia,Buona,1,0,0,0
3642276,VIA CASAL BERNOCCHI,"(41.78444,12.37996)",Asciutto,Asfaltata,Ore Diurne,16/01/2018,10:30,Veicolo in marcia contro ostacolo accidentale,Nuvoloso,Buona,1,0,0,0
3642277,VIA ORISTANO,"(41.88618,12.5229)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,11:50,Tamponamento,Pioggia in atto,Buona,2,0,0,0
3642279,VIA CASILINA,"(41.86464,12.69876)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,20:10,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,1,2,0,0
3642283,VIA PRENESTINA,"(41.89349,12.61039)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,21:15,Scontro frontale fra veicoli in marcia,Nuvoloso,Buona,1,1,0,0
3642287,VIA DON PRIMO MAZZOLARI,"(41.89684,12.67278)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,18:05,Investimento di pedone,Nuvoloso,Sufficiente,0,1,0,0
3642288,VIA OSTIENSE,"(41.80891,12.41094)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,09:45,Scontro frontale/laterale SX fra veicoli in marcia,Pioggia in atto,Sufficiente,2,0,0,0
3642291,VIA FILIPPO ANTONIO GUALTERIO,"(41.95211,12.51825)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,09:05,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
3642292,VIA SANT'ELPIDIO A MARE,"(41.91832,12.72614)",Asciutto,Asfaltata,Sufficiente,16/01/2018,22:35,Scontro frontale/laterale DX fra veicoli in marcia,Sereno,Buona,0,2,0,0
3642296,VIA PIETRO BELON,"(41.86934,12.5909)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,06:30,Investimento di pedone,Nuvoloso,Sufficiente,1,1,0,0
3642297,VIA LUCIANO ZUCCOLI,"(41.95082,12.54534)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,15:15,Veicolo in marcia contro veicolo in sosta,Pioggia in atto,Buona,1,0,0,0
3642300,VIA ALIFE,"(41.89371,12.62968)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,14:45,Scontro frontale/laterale DX fra veicoli in marcia,Pioggia in atto,Buona,2,0,0,0
3642301,VIA BENEDETTO ALOISI MASELLA,"(41.91585,12.40977)",Bagnato (pioggia),Asfaltata,Sufficiente,16/01/2018,19:30,Veicolo in marcia contro ostacolo fisso,Nuvoloso,Sufficiente,1,0,0,0
3642304,VIA DI LUNGHEZZINA,"(41.92226,12.67682)",Bagnato (pioggia),Asfaltata,Ore Diurne,16/01/2018,10:15,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Buona,1,1,0,0
3642314,VIALE MARCO FULVIO NOBILIORE,"(41.86241,12.5672)",Asciutto,Asfaltata,Sufficiente,16/01/2018,23:00,Scontro frontale/laterale SX fra veicoli in marcia,Nuvoloso,Sufficiente,2,0,0,0
