ID,Citta,Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
035201712102245137,Bergamo, VIA BIANZANA in corrispondenza del civico n.68/c,,,,"(45.7044, 9.6933)"
035201712102330138,Bergamo, VIA SUARDI all'intersezione con VIA BORGO SANTA CATERINA,,,,"(45.703, 9.6826)"
035201712091130139,Bergamo, VIA LUNGA in corrispondenza del civico n.30,,,,"(45.6839, 9.6976)"
035201712091345140,Bergamo, VIA DELLE VALLI distributore q8,,,,"(45.6977, 9.6946)"
035201712091440141,Bergamo, VIA SCURI ENRICO in prossimità del civico n.12,,,,"(45.6909, 9.6588)"
035201712090930142,Bergamo, PIAZZA EMANUELE FILIBERTO in corrispondenza del civico n.2/G,,,,"(45.6736, 9.6612)"
035201712091150143,Bergamo, VIA SUARDI all'intersezione semaforizzata con VIA ALBERICO DA ROSCIATE,,,,"(45.7022, 9.6814)"
035201712081150144,Bergamo, CAMOZZI in corrispondenza del civico n.105,,,,"(45.6977, 9.6761)"
035201712071828145,Bergamo, VIA CORRIDONI F. all'intersezione con VIA RADINI TEDESCHI,,,,"(45.7091, 9.6944)"
035201712071540146,Bergamo, CAMOZZI in corrispondenza del civico n.97,,,,"(45.6972, 9.6761)"
035201712071755147,Bergamo, VIA LAZZARETTO all'intersezione con PIAZZALE GOISIS LODOVICO,,,,"(45.7081, 9.6782)"
035201712071000148,Bergamo, VIA CORRIDONI F. all'intersezione con VIA QUINTO ALPINI,,,,"(45.708, 9.692)"
035201712071900149,Bergamo, SS671 prossimità ponte ferroviario,,,,"(45.6758, 9.6518)"
035201712061800150,Bergamo, VIA SAN GIORGIO all'intersezione semaforizzata con AUTOSTRADA,,,,"(45.688, 9.6674)"
035201712060740151,Bergamo, VIALE VITTORIO EMANUELE II in corrispondenza del civico n.56,,,,"(45.7004, 9.6647)"
035201712061545152,Bergamo, VIA BONOMELLI G. in corrispondenza del civico n.15,,,,"(45.6892, 9.6708)"
035201712051400153,Bergamo, VIA ZANICA in corrispondenza del civico n.92,,,,"(45.6715, 9.6745)"
035201712051830154,Bergamo, S.P. EX 671  in prossimità svincolo Orio Al Serio dir. Curno,,,,"(45.6784, 9.6882)"
035201712052000155,Bergamo, LARGO PORTA NUOVA all'intersezione semaforizzata con VIALE PAPA GIOVANNI XXIII,,,,"(45.6942, 9.6708)"
035201712052035156,Bergamo, VIA F.LLI BANDIERA in corrispondenza del civico n.32,,,,"(45.6768, 9.6373)"
035201712041000157,Bergamo, VIA PASCOLI in prossimità del civico n.1,,,,"(45.6942, 9.6739)"
035201712041800158,Bergamo, V.LE VITTORIO EMANUELE in prossimità del civico n.33,,,,"(45.6994, 9.6647)"
035201712042300159,Bergamo, VIA BORGO PALAZZO in prossimità del palo luce n.178,,,,"(45.6927, 9.6951)"
035201712031910160,Bergamo, VIA MARTINELLA all'intersezione semaforizzata con VIA CORRENTI C.,,,,"(45.71, 9.7028)"
035201712031100161,Bergamo, VIA CARDUCCI G. parcheggio AUCHAN (porta sant'agostino),,,,"(45.6877, 9.6478)"
