ID,Citta',Via,FondoStradale,Pavimentazione,Illuminazione,Coordinate
3645842,Roma,VIALE MARESCIALLO PILSUDSKI,Asciutto,Asfaltata,Inesistente,"(12.47576,41.92799)"
3645842,Roma,VIALE MARESCIALLO PILSUDSKI,Asciutto,Asfaltata,Inesistente,"(12.47576,41.92799)"
3645845,Roma,VIA FLAMINIA,Bagnato (pioggia),Asfaltata,Sufficiente,"(12.4717,41.94367)"
3645845,Roma,VIA FLAMINIA,Bagnato (pioggia),Asfaltata,Sufficiente,"(12.4717,41.94367)"
3645878,Roma,VIA SALARIA,Asciutto,Asfaltata,Ore Diurne,"(12.51724,41.98601)"
3645878,Roma,VIA SALARIA,Asciutto,Asfaltata,Ore Diurne,"(12.51724,41.98601)"
3645878,Roma,VIA SALARIA,Asciutto,Asfaltata,Ore Diurne,"(12.51724,41.98601)"
3645879,Roma,VIA SANTI ROMANO,Asciutto,Asfaltata,Ore Diurne,"(12.56788,41.86237)"
3645890,Roma,VIA SAN LEO,Bagnato (pioggia),Asfaltata,Sufficiente,"(12.51145,41.98027)"
3645904,Roma,VIA ISOLE DEL CAPO VERDE,,,,"(,)"
3645904,Roma,VIA ISOLE DEL CAPO VERDE,,,,"(,)"
3645904,Roma,VIA ISOLE DEL CAPO VERDE,,,,"(,)"
3645904,Roma,VIA ISOLE DEL CAPO VERDE,,,,"(,)"
3645904,Roma,VIA ISOLE DEL CAPO VERDE,,,,"(,)"
3645907,Roma,VIA DEI PRATI FISCALI,Asciutto,Asfaltata,Ore Diurne,"(12.51588,41.94604)"
3645907,Roma,VIA DEI PRATI FISCALI,Asciutto,Asfaltata,Ore Diurne,"(12.51588,41.94604)"
3645907,Roma,VIA DEI PRATI FISCALI,Asciutto,Asfaltata,Ore Diurne,"(12.51588,41.94604)"
3645956,Roma,VIA ORIOLO ROMANO,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.46098,41.96101)"
3645956,Roma,VIA ORIOLO ROMANO,Bagnato (umidit? in atto),Asfaltata,Sufficiente,"(12.46098,41.96101)"
3646032,Roma,VIA ANAGNINA,Asciutto,Asfaltata,Sufficiente,"(12.59191,41.83942)"
3646032,Roma,VIA ANAGNINA,Asciutto,Asfaltata,Sufficiente,"(12.59191,41.83942)"
3646032,Roma,VIA ANAGNINA,Asciutto,Asfaltata,Sufficiente,"(12.59191,41.83942)"
3646071,Roma,VIA TUSCOLANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.52935,41.87411)"
3646071,Roma,VIA TUSCOLANA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.52935,41.87411)"
3646080,Roma,VIA TOMMASO FORTIFIOCCA,Asciutto,Asfaltata,Ore Diurne,"(12.52224,41.87122)"
3646080,Roma,VIA TOMMASO FORTIFIOCCA,Asciutto,Asfaltata,Ore Diurne,"(12.52224,41.87122)"
3646080,Roma,VIA TOMMASO FORTIFIOCCA,Asciutto,Asfaltata,Ore Diurne,"(12.52224,41.87122)"
3646080,Roma,VIA TOMMASO FORTIFIOCCA,Asciutto,Asfaltata,Ore Diurne,"(12.52224,41.87122)"
3646084,Roma,VIALE DELL'OCEANO PACIFICO,Asciutto,Asfaltata,Ore Diurne,"(12.46155,41.82033)"
3646084,Roma,VIALE DELL'OCEANO PACIFICO,Asciutto,Asfaltata,Ore Diurne,"(12.46155,41.82033)"
3646084,Roma,VIALE DELL'OCEANO PACIFICO,Asciutto,Asfaltata,Ore Diurne,"(12.46155,41.82033)"
3646148,Roma,VIA LAURENTINA,Asciutto,Asfaltata,Sufficiente,"(12.48755,41.77122)"
3646189,Roma,VIA DI MEZZOCAMMINO,Asciutto,Con buche,Sufficiente,"(12.43668,41.78881)"
3646218,Roma,VIA PINCIANA,Asciutto,Asfaltata,Sufficiente,"(12.49103,41.91088)"
3646244,Roma,VIA DELL'ORSA MINORE,Asciutto,Asfaltata,Sufficiente,"(12.44662,41.81212)"
3646244,Roma,VIA DELL'ORSA MINORE,Asciutto,Asfaltata,Sufficiente,"(12.44662,41.81212)"
3646244,Roma,VIA DELL'ORSA MINORE,Asciutto,Asfaltata,Sufficiente,"(12.44662,41.81212)"
3646329,Roma,VIA CONTE DI CARMAGNOLA,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.5348,41.8903)"
3646392,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne,"(12.42596,41.90289)"
3646392,Roma,VIA DOMENICO TARDINI,Asciutto,Asfaltata,Ore Diurne,"(12.42596,41.90289)"
3646411,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.41155,41.78584)"
3646411,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.41155,41.78584)"
3646411,Roma,VIA CRISTOFORO COLOMBO,Asciutto,Asfaltata,Ore Diurne,"(12.41155,41.78584)"
3646477,Roma,VIALE GIUSTINIANO IMPERATORE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.48085,41.85656)"
3646477,Roma,VIALE GIUSTINIANO IMPERATORE,Bagnato (pioggia),Asfaltata,Ore Diurne,"(12.48085,41.85656)"
3646555,Roma,VIALE MARCO POLO,Asciutto,Asfaltata,Ore Diurne,"(12.48717,41.87394)"
3646555,Roma,VIALE MARCO POLO,Asciutto,Asfaltata,Ore Diurne,"(12.48717,41.87394)"
3646562,Roma,VIALE XVII OLIMPIADE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.47544,41.93277)"
3646562,Roma,VIALE XVII OLIMPIADE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.47544,41.93277)"
3646562,Roma,VIALE XVII OLIMPIADE,Bagnato (umidit? in atto),Asfaltata,Ore Diurne,"(12.47544,41.93277)"
